file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
165,0,240,1497,37,9,775,496,62,19,17,1444,1.8608247422680413,0,133,2,73,17,0,10,0,240,25
166,0,57,2542,0,1,9,4,3,1,0,23,2.3,0,3,2,6,0,0,0,0,57,0
167,0,63,2390,680,110,1395,1,105,6,18,507,0.3631805157593123,0,62,33,859,18,0,7,0,63,2
168,0,2168,6144,134,151,2426,1,422,44,170,6615,2.7255871446229913,0,422,5,399,170,6,188,0,2168,37
169,0,2366,9770,1534,288,3689,1,954,50,2360,5892,1.5967479674796747,0,813,35,1739,2360,3,34,0,2366,14
170,0,592,1547,13,82,733,1,240,12,18,1018,1.3869209809264305,0,329,4,377,18,0,2,0,592,3
171,0,295,4077,16,174,1115,1,472,70,25,1770,1.586021505376344,0,578,4,652,25,1,5,0,295,0
172,0,1257,8906,359,329,2874,1,1010,145,446,3023,1.0514782608695652,0,845,20,1064,446,2,21,0,1257,19
173,0,944,8611,65,644,2619,1,783,40,102,2952,1.1267175572519084,0,1146,22,1455,102,3,25,0,944,17
174,0,1706,9500,175,656,4546,1,680,108,1088,4349,0.9564548053661756,0,606,11,1461,1088,78,41,0,1706,23
175,0,201,3601,10,27,2205,1,130,11,115,1017,0.4610154125113327,0,100,5,118,115,1,8,0,201,0
176,0,646,1288,50,17,614,1,91,12,35,1047,1.7024390243902439,0,132,0,212,35,0,0,0,646,29
177,0,163,14453,77,12,3157,1,840,5,41,3947,1.2498416719442684,0,898,15,871,41,0,12,0,163,5
178,0,1112,10389,40,863,4421,1,775,100,1393,5342,1.2080506558118498,0,1143,9,1790,1393,6,17,0,1112,6
179,0,1112,10389,40,863,4421,1,775,100,1393,5342,1.2080506558118498,0,1143,9,1790,1393,6,17,0,1112,6
180,0,704,934,5,40,651,1,120,13,61,945,1.4493865030674846,0,99,24,197,61,0,1,0,704,12
