file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
334,0,696,8917,322,385,2446,3,604,39,146,3179,1.2991418062934206,0,432,294,724,146,6,16,0,696,3
335,0,14,4983,8,13,1182,1,1071,0,4,1158,0.9788672865595942,0,31,2,713,4,1,3,0,14,0
336,0,5,4626,8,0,1064,1,1020,0,2,1032,0.9690140845070423,0,0,0,680,2,1,2,0,5,0
337,0,5,4633,8,1,1064,1,1022,0,2,1023,0.9605633802816902,0,1,0,681,2,1,2,0,5,0
338,0,5,6142,10,0,1401,1,1359,0,2,1337,0.9536376604850214,0,0,0,1019,2,1,2,0,5,0
339,0,5,4626,8,0,1064,1,1020,0,2,1032,0.9690140845070423,0,0,0,680,2,1,2,0,5,0
340,0,5,4639,8,12,1075,1,1020,0,4,1050,0.9758364312267658,0,0,0,680,4,1,2,0,5,0
341,0,278,3729,19,173,847,1,300,24,512,1696,2.0,0,262,0,325,512,0,3,0,278,0
342,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
343,0,108,7829,0,3,97,4,40,6,0,270,2.7551020408163267,64,32,0,87,0,0,0,0,108,0
344,0,213,2849,0,130,1117,1,327,205,2,1441,1.2889087656529516,1,115,37,90,2,0,0,0,213,0
345,0,5,6941,2,27,1470,1,1358,0,1260,2030,1.380013596193066,0,8,0,1379,1260,1,2,0,5,0
346,0,47,2406,345,265,1882,1,202,63,38,2385,1.2665958576739247,0,111,57,718,38,7,2,0,47,1
347,0,245,2528,132,433,1875,1,148,9,86,1304,0.6950959488272921,0,107,20,535,86,4,11,0,245,24
348,0,116,1037,4,80,224,43,95,47,0,773,3.4355555555555557,103,86,7,151,0,0,1,0,116,0
349,0,0,4576,8,0,1026,1,1018,0,0,949,0.9240506329113924,0,0,0,678,0,0,0,0,0,0
350,0,0,2663,7,0,484,1,477,0,477,959,1.977319587628866,0,0,0,318,477,0,0,0,0,0
351,0,427,7438,44,625,2866,1,995,248,1486,4526,1.5786536449250088,4,473,21,1174,1486,25,19,0,427,8
